version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Bùi Thị Ngọc Trân,baseline,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdfd80b3879531dfe64e2c1903f39fe0facc08f9bed6fcc064b33f5,eb3e2243f23747297c1204e5e56f852f5e869f00cb97baae7786baefcabbc419,Đo baseline trước khi tối ưu,"Đo hiệu năng ban đầu để làm mốc so sánh cho các phiên bản tiếp theo",tool_routing_accuracy,,0.7667,runs/v0_B_base_openrouter_20260914T182807998557.json
v1,Bùi Thị Ngọc Trân,tools.yaml,v1+p233ec2cecfdf+t30844d7c9d8c,233ec2cecfdfd80b3879531dfe64e2c1903f39fe0facc08f9bed6fcc064b33f5,30844d7c9d8cc57bca2b96fd64d9ee85eef1a66a6ef853a386f9bb15ccf21fad,Sai routing giữa dịch vụ dùng chung thiết bị hướng dẫn và nhân viên,"Nếu mô tả rõ ranh giới giữa check_service_status, inspect_device, search_kb và lookup_user thì tool_routing_accuracy sẽ tăng từ 0.7667 mà không làm giảm argument_accuracy",tool_routing_accuracy,0.7667,0.8,runs/v1_B_base_openrouter_20260914T193938433535.json
v2,Bùi Thị Ngọc Trân,tools.yaml,v2+p233ec2cecfdf+t2506f3dfeb1a,233ec2cecfdfd80b3879531dfe64e2c1903f39fe0facc08f9bed6fcc064b33f5,2506f3dfeb1a6ac2336e43cd81a29b373439acc51fae8e81f5157b7b225abc1d,Argument chưa được trích xuất nhất quán theo enum và môi trường,"Nếu mô tả rõ quy ước ánh xạ check category service environment và template thì argument_accuracy sẽ tăng từ 0.7333 mà không làm giảm tool_routing_accuracy",argument_accuracy,0.7333,0.7667,runs/v2_B_base_openrouter_20260914T195814576343.json
v3,Bùi Thị Ngọc Trân,system_prompt.md,v3+p6f8844f4dee8+t2506f3dfeb1a,6f8844f4dee8293b9e20765b506682526bffa66eacc727a80111a4b3b990c055,2506f3dfeb1a6ac2336e43cd81a29b373439acc51fae8e81f5157b7b225abc1d,Thiếu quy tắc hỏi lại xác nhận và xử lý ngữ cảnh nhiều lượt,"Nếu yêu cầu model không đoán identifier, hỏi lại khi dữ liệu bắt buộc còn thiếu, ưu tiên thông tin mới nhất và xác nhận lại khi payload thay đổi thì case_accuracy sẽ tăng từ 0.7667 mà không làm giảm routing hoặc argument accuracy",case_accuracy,0.7667,0.9333,runs/v3_B_base_openrouter_20260914T200606285712.json
v6,NguyenTuanThanh,"artifacts/system_prompt.md + artifacts/tools.yaml + security/bonus implementation",v6+pd994ffdb8756+t45dd38b23500,d994ffdb8756c34696fa840a69abfb1801ea65d3cb21ade2f9f524ca9c07fc5e,45dd38b23500e8bd6c3449c8cb88f80826f73166f5add59af0acaa9e9595df64,"Added Tavily input filtering, ticket audit, and approved_software_catalog. Adversarial run exposed unsafe forged confirmation and silent identifier stripping in A11/A12.","Tool-level validation plus initial prompt routing should block common leakage and forged action requests.",adversarial_case_accuracy,,0.8333,evidence/runs/v6_B_adversarial_openai_20260914T200805605592.json
v7,NguyenTuanThanh,"artifacts/system_prompt.md + artifacts/tools.yaml",v7+pcac207f31900+t683deb8d7ae2,cac207f3190046a3b0817659cc0d32e89451744aeb0f96146ca0e06380ee8b4f,683deb8d7ae26fc1eb3a4d79fe7376a6c8384159b561c18d796ed2137db40df4,"Clarified confirmation provenance, external identifier handling, and Outlook-to-email category mapping. Base reached 30/30, but adversarial A05/A11 showed prompt-only protection was unstable.","Explicit provenance and data-boundary wording should fix A11/A12 without base regression.",adversarial_case_accuracy,0.8333,0.8333,evidence/runs/v7_B_adversarial_openai_20260914T201229729600.json
v8,NguyenTuanThanh,"agent.py + artifacts/system_prompt.md + artifacts/tools.yaml",v8+p54b822dfcb81+t444168f794dc,54b822dfcb81c09f0ba1d48ae505466f77aa8b63eb136b66d128e1dc2f75af24,444168f794dca1466a66049decebbd04aa5b64e7b2fc234f97b8c9014792c8b3,"Added runtime enforcement for credential-bearing actions, forged confirmation, and external identifier smuggling. A05/A11/A12 passed; A06 revealed that the first enforcement rule also blocked a safe local read.","A runtime layer should prevent side effects even when the model proposes an unsafe call.",adversarial_case_accuracy,0.8333,0.9167,evidence/runs/v8_B_adversarial_openai_20260914T201657201419.json
v9,NguyenTuanThanh,"agent.py + scripts/security_smoke.py",v9+p54b822dfcb81+t444168f794dc,54b822dfcb81c09f0ba1d48ae505466f77aa8b63eb136b66d128e1dc2f75af24,444168f794dca1466a66049decebbd04aa5b64e7b2fc234f97b8c9014792c8b3,"Refined runtime enforcement to preserve valid local reads while filtering external calls and invalid employee-ID arguments. Full adversarial reached 12/12 and base regression remained 30/30.","Least-privilege call filtering should pass A06 while preserving all core behavior.",adversarial_case_accuracy,0.9167,1.0000,evidence/runs/v9_B_adversarial_openai_20260914T202109354359.json
v12,NguyenTuanThanh,"integrated artifacts + agent.py",v12+p8cff2cbc8476+t1adab0db678a,8cff2cbc8476d0feffaf18f393ffd6163493682a5de371b74b88bb2c066c0f96,1adab0db678aadece74ac1d09ebe11ba0ce51409acd09039b404e35ca502a19e,"Re-ran the fixed adversarial suite after rebasing onto the latest team artifacts. A10 created a synthetic ticket because flattened multi-turn context bypassed the first stale-confirmation detector.","The merged artifacts should preserve the V9 adversarial boundary.",adversarial_case_accuracy,1.0000,0.9167,evidence/runs/v12_B_adversarial_openai_20260915T002630395996.json
v13,NguyenTuanThanh,"agent.py + scripts/security_smoke.py",v13+p8cff2cbc8476+t1adab0db678a,8cff2cbc8476d0feffaf18f393ffd6163493682a5de371b74b88bb2c066c0f96,1adab0db678aadece74ac1d09ebe11ba0ce51409acd09039b404e35ca502a19e,"Added ordered stale-confirmation detection for flattened evaluator context and a deterministic regression check. Final adversarial passed 12/12 and base passed 30/30 with zero provider errors.","Runtime rerouting to clarify yes_no should close A10 without regressing normal routing.",adversarial_case_accuracy,0.9167,1.0000,evidence/runs/v13_B_adversarial_openai_20260915T002850206811.json
v14,NguyenTuanThanh,"integrated team eval + system_prompt.md + agent.py + chat.py",v14+p4829876b0783+t28352fd33b79,4829876b0783923c2e05af3ec3594f4e5aa86092447955dad91cc131b6b3076a,28352fd33b79582cf48323185bf0798469dc07f522aa8d6fcc9ecd0e6247b2bb,"Integrated exactly 10 original team cases, replaced invalid fixture identifiers and a Tavily case without a configured key, required explicit KB categories, filtered identifier-type mismatches, and applied runtime guardrails to CLI/UI. Group improved from 9/10 to 10/10; base remained 30/30.","Valid local fixtures plus runtime identifier integrity should remove tool-result errors and extra calls without a base regression.",group_case_accuracy,0.9000,1.0000,evidence/runs/v14_B_group_openai_20260915T104941856379.json
